DATE,TOTALNS,TOTALSL
12/1/2009,2555.0166,2555.0166
1/1/2010,2541.7022,2540.6108
2/1/2010,2502.4203,2530.029
3/1/2010,2493.1294,2536.7453
4/1/2010,2487.7227,2530.5443
5/1/2010,2480.8721,2524.0097
6/1/2010,2478.4517,2520.001
7/1/2010,2479.8822,2518.217
8/1/2010,2501.5853,2518.5194
9/1/2010,2503.8551,2519.3354
10/1/2010,2505.999,2528.6856
11/1/2010,2511.5008,2528.7316
12/1/2010,2646.8113,2646.8113
1/1/2011,2655.6747,2655.0447
2/1/2011,2636.2482,2664.4405
3/1/2011,2628.6009,2672.7801
4/1/2011,2635.195,2678.5955
5/1/2011,2643.5294,2686.1632
6/1/2011,2653.4789,2694.7259
7/1/2011,2676.9503,2716.6242
8/1/2011,2691.0208,2708.5578
9/1/2011,2702.9131,2719.132
10/1/2011,2705.2721,2727.6231
11/1/2011,2727.8413,2745.7854
12/1/2011,2757.0729,2757.0729
1/1/2012,2767.5828,2767.91
2/1/2012,2748.1834,2777.2123
3/1/2012,2746.1648,2791.0794
4/1/2012,2760.0295,2803.9679
5/1/2012,2781.7144,2823.8207
6/1/2012,2795.2744,2835.8871
7/1/2012,2803.8106,2844.2583
8/1/2012,2843.4646,2861.6847
9/1/2012,2854.9229,2871.4055
10/1/2012,2867.0297,2888.9271
11/1/2012,2887.7391,2906.5271
12/1/2012,2918.2581,2918.2581
1/1/2013,2932.271,2934.2929
2/1/2013,2924.2392,2955.3084
3/1/2013,2919.2361,2965.7467
4/1/2013,2930.9847,2975.7034
5/1/2013,2949.1025,2990.8112
6/1/2013,2962.2567,3001.7932
7/1/2013,2975.7949,3016.1199
8/1/2013,3013.7468,3032.0378
9/1/2013,3033.0343,3049.3748
10/1/2013,3045.6087,3066.4321
11/1/2013,3059.2857,3078.6763
12/1/2013,3093.3858,3093.3858
1/1/2014,3108.5802,3112.1055
2/1/2014,3097.1702,3129.8618
3/1/2014,3100.0784,3148.098
4/1/2014,3126.0468,3171.6447
5/1/2014,3148.6948,3190.2792
6/1/2014,3167.4747,3206.134
7/1/2014,3188.1878,3227.9403
8/1/2014,3226.926,3245.4488
9/1/2014,3246.1269,3261.9703
10/1/2014,3252.9523,3272.609
11/1/2014,3268.1205,3287.7127
12/1/2014,3314.5671,3314.5671
1/1/2015,3324.1888,3328.9431
2/1/2015,3312.5651,3347.0142
3/1/2015,3319.7104,3369.274
4/1/2015,3343.7396,3390.0488
5/1/2015,3366.1869,3407.6964
6/1/2015,3394.7956,3432.6777
7/1/2015,3412.0072,3450.8671
8/1/2015,3448.6214,3466.993
9/1/2015,3478.539,3493.8336
10/1/2015,3490.0521,3508.5388
11/1/2015,3507.4991,3527.029
12/1/2015,3413.6116,3413.6116
1/1/2016,3425.8063,3431.4257
2/1/2016,3411.2921,3446.7086
3/1/2016,3420.9296,3471.2095
4/1/2016,3444.6131,3491.1419
5/1/2016,3469.5328,3510.8535
6/1/2016,3488.4762,3525.7103
7/1/2016,3504.9398,3543.1992
8/1/2016,3551.814,3570.5431
9/1/2016,3573.3239,3588.5699
10/1/2016,3589.2114,3607.4263
11/1/2016,3613.4818,3632.3188
12/1/2016,3643.6549,3643.6548
1/1/2017,3653.5379,3659.726
2/1/2017,3641.2422,3677.6103
3/1/2017,3639.2296,3690.1093
4/1/2017,3656.0889,3702.8079
5/1/2017,3678.8036,3720.1764
6/1/2017,3694.5358,3731.2557
7/1/2017,3707.9559,3745.9752
8/1/2017,3740.5061,3759.4448
9/1/2017,3752.1623,3767.6362
10/1/2017,3769.1938,3787.6126
11/1/2017,3802.3942,3817.8092
12/1/2017,3830.9583,3830.9579
1/1/2018,3836.5412,3842.729
2/1/2018,3817.329,3853.6968
3/1/2018,3811.5471,3862.4266
4/1/2018,3824.278,3870.9967
5/1/2018,3851.8571,3893.2295
6/1/2018,3861.9837,3898.7032
7/1/2018,3878.139,3916.1579
8/1/2018,3920.0968,3939.0351
9/1/2018,3934.4842,3949.9578
