Date,Rate
11/4/2016,0.25
11/11/2016,0.25
11/18/2016,0.25
11/25/2016,0.25
12/2/2016,0.25
12/9/2016,0.25
12/16/2016,0.25
12/23/2016,0.25
12/30/2016,0.25
1/6/2017,0.25
1/13/2017,0.25
1/20/2017,0.25
1/27/2017,0.25
2/3/2017,0.25
2/10/2017,0.27
2/17/2017,0.27
2/24/2017,0.27
3/3/2017,0.27
3/10/2017,0.27
3/17/2017,0.27
3/24/2017,0.28
3/31/2017,0.29
4/7/2017,0.29
4/14/2017,0.29
4/21/2017,0.29
4/28/2017,0.29
5/5/2017,0.29
5/12/2017,0.29
5/19/2017,0.29
5/26/2017,0.29
6/2/2017,0.29
6/9/2017,0.29
6/16/2017,0.29
6/23/2017,0.29
6/30/2017,0.3
7/7/2017,0.3
7/14/2017,0.3
7/21/2017,0.3
7/28/2017,0.3
8/4/2017,0.3
8/11/2017,0.3
8/18/2017,0.3
8/25/2017,0.3
9/1/2017,0.31
9/8/2017,0.31
9/15/2017,0.31
9/22/2017,0.31
9/29/2017,0.31
10/6/2017,0.31
10/13/2017,0.31
10/20/2017,0.31
10/27/2017,0.31
11/3/2017,0.3
11/10/2017,0.3
11/17/2017,0.3
11/24/2017,0.3
12/1/2017,0.3
12/8/2017,0.31
12/15/2017,0.33
12/22/2017,0.33
12/29/2017,0.33
1/5/2018,0.33
1/12/2018,0.33
1/19/2018,0.35
1/26/2018,0.35
2/2/2018,0.35
2/9/2018,0.35
2/16/2018,0.35
2/23/2018,0.36
3/2/2018,0.4
3/9/2018,0.39
3/16/2018,0.4
3/23/2018,0.4
3/30/2018,0.4
4/6/2018,0.4
4/13/2018,0.4
4/20/2018,0.4
4/27/2018,0.43
5/4/2018,0.44
5/11/2018,0.43
5/18/2018,0.45
5/25/2018,0.45
6/1/2018,0.45
6/8/2018,0.44
6/15/2018,0.44
6/22/2018,0.49
6/29/2018,0.5
7/6/2018,0.5
7/13/2018,0.51
7/20/2018,0.53
7/27/2018,0.53
8/3/2018,0.53
8/10/2018,0.55
8/17/2018,0.55
8/24/2018,0.55
8/31/2018,0.55
9/7/2018,0.55
9/14/2018,0.57
9/21/2018,0.59
9/28/2018,0.59
10/5/2018,0.6
10/12/2018,0.6
10/19/2018,0.6
10/26/2018,0.6
11/2/2018,0.6
